Run 1:
         8          0.000001606
        16          0.000000980
        32          0.000000937
        64          0.000000950
       128          0.000001043
       256          0.000001087
       512          0.000001448
      1024          0.000002125
      2048          0.000002880
      4096          0.000004254
      8192          0.000003750
     16384          0.000005808
     32768          0.000010137
     65536          0.000018823
    131072          0.000035580
    262144          0.000069501
    524288          0.000136321
   1048576          0.000269903
   2097152          0.000537266
   4194304          0.001072143
   8388608          0.002110550
  16777216          0.002865901
  33554432          0.004373152
  67108864          0.007418232
 134217728          0.013487052
 268435456          0.025601858
 536870912          0.050378903
1073741824          0.099828938

Run 2:
         8          0.000001726
        16          0.000001037
        32          0.000000967
        64          0.000000980
       128          0.000001045
       256          0.000001269
       512          0.000001568
      1024          0.000002122
      2048          0.000003222
      4096          0.000004332
      8192          0.000003829
     16384          0.000006341
     32768          0.000010866
     65536          0.000019700
    131072          0.000037443
    262144          0.000072923
    524288          0.000143476
   1048576          0.000284189
   2097152          0.000565586
   4194304          0.001126987
   8388608          0.002212163
  16777216          0.003008141
  33554432          0.004536999
  67108864          0.007677210
 134217728          0.013948039
 268435456          0.026327809
 536870912          0.051697701
1073741824          0.101646810

Run 3:
         8          0.000001668
        16          0.000001011
        32          0.000000959
        64          0.000000971
       128          0.000001019
       256          0.000001156
       512          0.000001551
      1024          0.000002086
      2048          0.000004665
      4096          0.000004816
      8192          0.000003722
     16384          0.000006179
     32768          0.000010541
     65536          0.000019158
    131072          0.000036234
    262144          0.000070571
    524288          0.000138610
   1048576          0.000273975
   2097152          0.000545493
   4194304          0.001086211
   8388608          0.002134924
  16777216          0.002937000
  33554432          0.004459803
  67108864          0.007568370
 134217728          0.013865599
 268435456          0.026422437
 536870912          0.051338441
1073741824          0.101601940

Run 4:
         8          0.000001635
        16          0.000001029
        32          0.000000975
        64          0.000000975
       128          0.000001016
       256          0.000001099
       512          0.000001578
      1024          0.000002106
      2048          0.000002993
      4096          0.000004299
      8192          0.000003802
     16384          0.000006021
     32768          0.000010433
     65536          0.000018883
    131072          0.000036178
    262144          0.000070604
    524288          0.000137850
   1048576          0.000272538
   2097152          0.000542828
   4194304          0.001085945
   8388608          0.002125583
  16777216          0.002941343
  33554432          0.004444169
  67108864          0.007545151
 134217728          0.013884752
 268435456          0.026406068
 536870912          0.051411263
1073741824          0.101430325

Run 5:
         8          0.000001654
        16          0.000001023
        32          0.000000989
        64          0.000000994
       128          0.000001052
       256          0.000001209
       512          0.000001785
      1024          0.000002126
      2048          0.000003007
      4096          0.000004461
      8192          0.000003776
     16384          0.000006284
     32768          0.000010765
     65536          0.000019758
    131072          0.000037729
    262144          0.000073380
    524288          0.000144766
   1048576          0.000286099
   2097152          0.000569857
   4194304          0.001135842
   8388608          0.002227411
  16777216          0.003049434
  33554432          0.004637742
  67108864          0.007812153
 134217728          0.014207515
 268435456          0.026938456
 536870912          0.052507579
1073741824          0.103570802

Run 6:
         8          0.000001564
        16          0.000001013
        32          0.000000968
        64          0.000000970
       128          0.000001019
       256          0.000001114
       512          0.000001547
      1024          0.000002172
      2048          0.000002948
      4096          0.000004249
      8192          0.000003849
     16384          0.000006283
     32768          0.000010733
     65536          0.000019529
    131072          0.000037034
    262144          0.000072692
    524288          0.000142411
   1048576          0.000281893
   2097152          0.000560812
   4194304          0.001117658
   8388608          0.002191816
  16777216          0.002986757
  33554432          0.004513908
  67108864          0.007636856
 134217728          0.013899110
 268435456          0.026343819
 536870912          0.051744916
1073741824          0.100472692

Run 7:
         8          0.000001524
        16          0.000001021
        32          0.000000970
        64          0.000000983
       128          0.000001044
       256          0.000001181
       512          0.000001478
      1024          0.000002023
      2048          0.000002865
      4096          0.000004155
      8192          0.000003802
     16384          0.000006380
     32768          0.000010820
     65536          0.000020358
    131072          0.000037369
    262144          0.000073078
    524288          0.000144273
   1048576          0.000284820
   2097152          0.000565174
   4194304          0.001145448
   8388608          0.002195221
  16777216          0.003011687
  33554432          0.004476310
  67108864          0.007659506
 134217728          0.013917178
 268435456          0.026392372
 536870912          0.051189753
1073741824          0.101761194

Run 8:
         8          0.000001526
        16          0.000001022
        32          0.000003954
        64          0.000001109
       128          0.000001069
       256          0.000001230
       512          0.000001515
      1024          0.000002094
      2048          0.000002855
      4096          0.000004102
      8192          0.000003886
     16384          0.000006196
     32768          0.000011203
     65536          0.000019457
    131072          0.000037214
    262144          0.000072602
    524288          0.000142699
   1048576          0.000282207
   2097152          0.000561704
   4194304          0.001120611
   8388608          0.002197041
  16777216          0.002990441
  33554432          0.004505080
  67108864          0.007622966
 134217728          0.013857056
 268435456          0.026425277
 536870912          0.051407656
1073741824          0.101459322

Run 9:
         8          0.000001666
        16          0.000001067
        32          0.000001020
        64          0.000001013
       128          0.000001044
       256          0.000001158
       512          0.000001643
      1024          0.000002194
      2048          0.000003058
      4096          0.000004545
      8192          0.000003918
     16384          0.000006220
     32768          0.000011123
     65536          0.000020297
    131072          0.000038278
    262144          0.000074751
    524288          0.000150236
   1048576          0.000291475
   2097152          0.000580492
   4194304          0.001157314
   8388608          0.002270884
  16777216          0.003069474
  33554432          0.004608070
  67108864          0.007795291
 134217728          0.014214149
 268435456          0.026681080
 536870912          0.052248601
1073741824          0.103223020

Run 10:
         8          0.000001620
        16          0.000001032
        32          0.000000984
        64          0.000000984
       128          0.000001035
       256          0.000001256
       512          0.000001551
      1024          0.000002233
      2048          0.000003019
      4096          0.000004261
      8192          0.000003769
     16384          0.000006029
     32768          0.000010910
     65536          0.000019173
    131072          0.000037027
    262144          0.000072784
    524288          0.000143007
   1048576          0.000283588
   2097152          0.000568685
   4194304          0.001124946
   8388608          0.002211968
  16777216          0.003019708
  33554432          0.004512967
  67108864          0.007628197
 134217728          0.013900952
 268435456          0.026371511
 536870912          0.051505051
1073741824          0.101266544

Run 11:
         8          0.000001453
        16          0.000000987
        32          0.000000948
        64          0.000000968
       128          0.000000994
       256          0.000001077
       512          0.000001513
