Run 1:
         8          0.000002265
        16          0.000002255
        32          0.000002330
        64          0.000002357
       128          0.000002978
       256          0.000003062
       512          0.000003145
      1024          0.000003112
      2048          0.000003273
      4096          0.000003449
      8192          0.000003943
     16384          0.000004484
     32768          0.000007839
     65536          0.000009682
    131072          0.000012981
    262144          0.000019434
    524288          0.000030239
   1048576          0.000050650
   2097152          0.000093418
   4194304          0.000180205
   8388608          0.000356281
  16777216          0.000704244
  33554432          0.001403782
  67108864          0.002825419
 134217728          0.005653107
 268435456          0.011303325
 536870912          0.022593075
1073741824          0.045181319

Run 2:
         8          0.000002274
        16          0.000002262
        32          0.000002308
        64          0.000002345
       128          0.000002953
       256          0.000003096
       512          0.000003154
      1024          0.000003245
      2048          0.000003258
      4096          0.000003430
      8192          0.000003799
     16384          0.000004422
     32768          0.000008188
     65536          0.000010232
    131072          0.000014280
    262144          0.000022215
    524288          0.000029963
   1048576          0.000050346
   2097152          0.000093319
   4194304          0.000181799
   8388608          0.000354417
  16777216          0.000704325
  33554432          0.001403719
  67108864          0.002823416
 134217728          0.005652452
 268435456          0.011298867
 536870912          0.022593363
1073741824          0.045192215

Run 3:
         8          0.000002609
        16          0.000002603
        32          0.000002318
        64          0.000002389
       128          0.000002978
       256          0.000003151
       512          0.000003182
      1024          0.000003327
      2048          0.000003259
      4096          0.000003384
      8192          0.000003796
     16384          0.000004361
     32768          0.000007792
     65536          0.000009136
    131072          0.000011943
    262144          0.000017310
    524288          0.000028280
   1048576          0.000049928
   2097152          0.000094712
   4194304          0.000183972
   8388608          0.000354383
  16777216          0.000703873
  33554432          0.001403237
  67108864          0.002816244
 134217728          0.005621261
 268435456          0.011235358
 536870912          0.022463127
1073741824          0.044930629

Run 4:
         8          0.000002269
        16          0.000002269
        32          0.000002259
        64          0.000002265
       128          0.000003210
       256          0.000003055
       512          0.000003109
      1024          0.000003111
      2048          0.000003185
      4096          0.000003349
      8192          0.000003859
     16384          0.000004485
     32768          0.000007793
     65536          0.000009741
    131072          0.000012903
    262144          0.000019544
    524288          0.000029792
   1048576          0.000050349
   2097152          0.000093312
   4194304          0.000185945
   8388608          0.000354340
  16777216          0.000704178
  33554432          0.001404096
  67108864          0.002823884
 134217728          0.005650595
 268435456          0.011299119
 536870912          0.022589688
1073741824          0.045181854

Run 5:
         8          0.000002331
        16          0.000002497
        32          0.000002296
        64          0.000002276
       128          0.000002933
       256          0.000003075
       512          0.000003082
      1024          0.000003111
      2048          0.000003199
